ID,Name,Subtitle,Average User Rating,User Rating Count,Price,Age Rating,Languages,Size,Primary Genre,genero_1,genero_2,genero_3,genero_4,Current Version Release Date
1435002311,8 Ball Pool   Fun Ball Games,play classic 8ball pool game,5,124,0,4+,"EN, ZH, ZH",15439872,Games, Music, Strategy,,,6/09/2018
1193976064,8 Ball Pool 3D Live Tour,Billiards Championship City,4,260,0,4+,EN,159466496,Games, Sports, Sports, Strategy,,22/12/2017
1443027001,8 Ball Pool King,Billiards classic game,4.5,6,0,4+,"EN, ZH, ZH",22807552,Games, Action, Strategy,,,19/11/2018
1436617801,8 Challenge,Brain challenge puzzle,,,0,4+,EN,59849728,Games, Puzzle, Strategy,,,22/09/2018
1188747294,8 Pool Billiards  Magic 8Ball Shooter 3D,,3.5,7,0,4+,EN,61300736,Games, Strategy, Sports,,,4/01/2017
1351036221,8 pool billiards 8 ball 3d,8 Ball Pool Multiplayer game,,,0,4+,EN,106184704,Games, Sports, Strategy,,,24/02/2018
1440992585,81 Tiles  Color Block Puzzle,Offline Bricks Saga Quest Game,4.5,10,0,4+,EN,182643712,Games, Puzzle, Entertainment, Strategy,,20/07/2019
1201152224,8Bit Farm,,4,43,4.99,4+,"EN, KO, ZH, ZH",235261952,Games, Entertainment, Strategy, Simulation,,30/03/2018
1397205889,8foldWay,The Game of Mental Flexibility,,,0,4+,"EN, HU",47235072,Games, Entertainment, Strategy, Puzzle,,5/09/2018
1213485376,9 Buttons  Smart & Creative Logic Puzzle,,,,0,4+,EN,46176256,Games, Strategy, Puzzle,,,11/04/2017
1191372210,9 MovesBall game for everyone,Move balls in 60 seconds,5,278,0,4+,"DA, EN, FR, DE, IT, PT, RU, ZH, ES, SV, ZH",49570816,Games, Strategy, Family,,,19/06/2018
1191090546,9 Pebbles,,,,0,4+,EN,20287488,Games, Strategy, Entertainment,,,10/01/2017
1007719995,9 Tiles Puzzle,,,,0,4+,EN,42813440,Games, Puzzle, Strategy,,,12/04/2016
1199822686,911 Operator,Emergency Units Dispatching,4.5,523,4.99,12+,"EN, FR, DE, JA, KO, PL, PT, RU, ZH, ES",228918272,Games, Education, Simulation, Strategy,,12/06/2019
1317766412,911 Operator Lite,,4.5,721,0,12+,"EN, FR, DE, JA, KO, PL, PT, RU, ZH, ES",254646272,Games, Strategy, Education, Simulation,,11/06/2019
1196034747,99 Hearts Valentine's Edition,,,,0,4+,EN,26567680,Games, Puzzle, Entertainment, Strategy,,20/01/2017
1455814143,9Draw,Can you get a Positive Score,,,0,4+,EN,109621248,Games, Card, Strategy,,,14/05/2019
1377644185,9PM Football Managers,Be the best manager,5,10,0,4+,"EN, FR, TR",415073280,Games, Sports, Strategy,,,31/07/2019
1231271974,ACCommander,,,,0.99,4+,EN,627919872,Games, Education, Strategy, Simulation,,5/05/2017
1051481099,ACORNS,,,,0,9+,EN,646496256,Games, Strategy, Action,,,21/09/2016
1195295442,A1 Set Dot,,,,0,4+,EN,12366848,Games, Entertainment, Casual, Strategy,,16/01/2017
1146930912,A1 Tic Tac Toe Puzzle,,,,0,4+,"AR, NL, FR, DE, HI, JA, KO, RU, ZH, ES",14089216,Games, Strategy, Puzzle, Entertainment,,20/03/2017
1140440749,Aa Dot Endless Game  Crazy Swirl Wheel Lucky Circle Ultimate Version,,,,0,4+,EN,52967424,Games, Casual, Entertainment, Strategy,,4/09/2016
1289546939,AA Glow Arrow  Dancing Line,AA Glow Arrow  Dancing Line,,,0,4+,EN,93819904,Games, Entertainment, Strategy, Puzzle,,29/09/2017
1082801118,AA Ninja Hero,,,,0,4+,EN,37780480,Games, Strategy, Casual, Entertainment,,17/02/2016
1086558507,AA Virus Killer  Hafun,,,,0,4+,EN,91059200,Games, Strategy, Entertainment, Puzzle,,9/09/2016
1086103314,AA Wheel,,,,0,4+,EN,45599744,Games, Strategy, Puzzle, Entertainment,,4/04/2016
1140521159,Aa Wheel Dot Endless Games  Crazy Swirl Lucky Circle Ultimate Level,,,,0,4+,EN,53071872,Games, Entertainment, Strategy, Casual,,4/09/2016
1203741127,Abak Evolution Backgammon,Add classes of soldiers,,,0,17+,EN,25596928,Games, Strategy, Board,,,31/10/2018
1244757508,Abandoned Shelter,,,,0,9+,"EN, ZH, ZH",74869760,Games, Entertainment, Strategy, Role Playing,,7/12/2017
1387143027,ABC Smart Puzzle Game,,,,0,4+,EN,8769536,Games, Puzzle, Education, Strategy,,14/06/2018
1222422121,ABCDEF,,,,0,4+,"EN, DE, ES",24686592,Games, Family, Strategy, Lifestyle,,14/12/2017
1170852506,Abi A Robot's Tale,An Indie Puzzle Adventure,4,135,0.99,4+,"EN, FR, DE, JA, KO, PT, ZH, ES, ZH",355188736,Games, Strategy, Puzzle,,,27/11/2017
1474349467,Absurd Monsters Puzzle  Wear,50 Doodle puzzle 3x3 for Watch,,,0.99,9+,EN,34109440,Games, Strategy, Puzzle, Entertainment,,2/08/2019
966581181,Accordion Solitaire & Variants,Classic card elimination game,,,0,4+,EN,20452352,Games, Entertainment, Strategy, Card,,21/09/2017
1341485498,AccurARcy,Test your accuracy with AR,,,0,4+,EN,12634112,Games, Casual, Strategy,,,31/01/2018
1258011960,Ace of Empires,Glory of Throne,4.5,171,0,9+,"EN, FR, DE, JA, ZH",139060224,Games, Social Networking, Strategy, Action,,13/08/2018
993019077,Aces & Kings Solitaire,Four games of solitaire,,,0,4+,EN,16430080,Games, Card, Strategy, Entertainment,,27/09/2017
912426273,Aces Gin Rummy,,4,109,0,4+,EN,117941248,Games, Card, Strategy,,,21/01/2019
1206994463,Ach Gringo Color,,,,0,4+,EN,44861440,Games, Strategy, Casual,,,21/02/2017
1393799957,Achi  Strategy game,Unique TicTacToe extension,4.5,7,0,4+,EN,28983296,Games, Entertainment, Strategy, Board,,10/07/2018
1249794714,Achilles Chess,Petteia  Latrunculi,,,0,4+,"EN, DE, EL",86242304,Games, Strategy, Board,,,8/10/2018
1470612939,Achroma,Card Game Companion,,,0,4+,EN,48789504,Games, Card, Utilities, Strategy,,2/08/2019
1315955464,Achronya,,,,0,12+,EN,350913536,Games, Action, Strategy,,,24/04/2019
1424924531,Achtung Spitfire,Fly your planes to victory,,,0,9+,EN,21417984,Games, Board, Strategy,,,29/11/2018
1474601590,Acrobatic Animals 3D,Tumble through the hills,,,0,4+,EN,239190016,Games, Entertainment, Strategy, Casual,,30/07/2019
1212315338,Adapt,,,,0,4+,EN,82738176,Games, Puzzle, Strategy,,,17/07/2017
1441608877,Add One,Challenge your concentration,,,0,4+,EN,24433664,Games, Puzzle, Strategy,,,15/11/2018
1057039541,AddAll,,,,0,4+,EN,29312000,Games, Strategy, Puzzle,,,29/06/2017
1447861670,Addit  Number Game,Puzzle game that challenges,,,0,4+,EN,9961472,Games, Strategy, Puzzle,,,21/05/2019
1447861670,Addit  Number Game,Puzzle game that challenges,,,0,4+,EN,9961472,Games, Strategy, Puzzle,,,21/05/2019
1154891230,Adelantado 4 Aztec skulls,Settlers medieval adventure,2,8,0,4+,"EN, FR, DE, IT, RU, ES",402073600,Games, Simulation, Strategy,,,20/01/2019
1432368817,Adivina Al Rapero (España),,,,0,17+,EN,72131584,Games, Word, Strategy, Entertainment,,8/09/2018
