ID;Size;Genero_1;Genero_2;Genero_3;Original Release Date;Current Version Release Date
1161149782;1101824; Casual; Strategy; Entertainment;07/10/2016;07/10/2016
1161220720;417127424; Casual; Strategy;;05/04/2018;05/04/2018
1161245804;724273152; Education; Strategy; Simulation;31/05/2017;19/04/2019
1161250684;21081088; Education; Strategy; Casual;03/10/2016;14/04/2017
1161254196;4898816; Strategy; Entertainment; Role Playing;20/10/2016;20/10/2016
1161254402;4972544; Entertainment; Strategy; Puzzle;04/11/2016;04/11/2016
1161267000;100624384; Entertainment; Puzzle; Strategy;16/11/2016;16/11/2016
1161322208;98067456; Puzzle; Strategy;;14/10/2016;24/09/2018
1161331929;68580352; Strategy; Music; Lifestyle;07/10/2016;20/10/2017
1161342777;27067392; Puzzle; Strategy; Entertainment;04/10/2016;04/10/2016
1161342948;10834944; Strategy; Puzzle; Entertainment;04/10/2016;04/10/2016
1161343086;20814848; Trivia; Entertainment; Strategy;04/10/2016;04/10/2016
1161423743;756431872; Entertainment; Strategy; Simulation;06/10/2016;28/05/2019
1161449822;89355264; Strategy; Entertainment; Puzzle;07/10/2016;07/10/2016
1161489355;14684160; Strategy; Puzzle; Entertainment;05/10/2016;05/10/2016
1161538963;186055680; Strategy; Role Playing;;17/11/2016;17/11/2016
1161582458;25817088; Casual; Strategy;;05/10/2016;05/10/2016
1161583102;323116032; Education; Strategy;;16/02/2017;21/06/2017
1161697868;111793152; Strategy;;;14/10/2016;14/10/2016
1161722706;11098112; Strategy; Entertainment; Puzzle;04/10/2016;04/10/2016
1161729895;181797888; Education; Strategy;;16/05/2017;16/05/2017
1161746962;39791616; Strategy; Puzzle; Education;05/10/2016;31/10/2016
1161839775;220815360; Casual; Entertainment; Strategy;13/10/2016;19/02/2019
1161936250;56786944; Board; Strategy;;06/10/2016;06/10/2016
1162009059;97323008; Strategy; Puzzle;;26/11/2016;02/02/2018
1162014462;202648576; Action; Strategy;;08/12/2016;08/12/2016
1162036488;56051712; Strategy; Adventure;;15/01/2017;15/01/2017
1162055724;31637504; Action; Strategy; Entertainment;08/10/2016;08/10/2016
1162085601;152972288; Family; Strategy; Entertainment;01/12/2016;04/04/2017
1162142456;119517184; Strategy; Entertainment; Puzzle;06/10/2016;06/10/2016
1162155239;92652544; Strategy; Entertainment; Simulation;14/10/2016;14/10/2016
1162162348;80489472; Strategy; Entertainment; Family;13/10/2016;07/12/2016
1162168455;205543424; Board; Strategy;;20/04/2017;21/07/2018
1162170789;93462528; Puzzle; Entertainment; Strategy;05/12/2016;09/01/2017
1162217456;330738688; Entertainment; Strategy; Puzzle;02/07/2019;02/07/2019
1162219706;55474176; Strategy; Entertainment; Trivia;07/10/2016;07/10/2016
1162228801;48517120; Social Networking; Strategy;;15/10/2016;18/10/2016
1162260179;18455552; Card; Strategy;;06/10/2016;03/01/2017
1162344824;511702016; Simulation; Strategy;;15/10/2016;21/09/2018
1162446203;3047424; Strategy; Entertainment; Puzzle;06/10/2016;06/10/2016
1162446431;14852096; Entertainment; Puzzle; Strategy;06/10/2016;06/10/2016
1162446593;9986048; Entertainment; Strategy; Puzzle;06/10/2016;06/10/2016
1162466672;252335104; Strategy; Puzzle;;02/07/2017;07/07/2017
1162537630;2447641600; Strategy; Role Playing;;15/12/2016;15/12/2016
1162560453;295200768; Entertainment; Strategy; Action;04/04/2017;04/04/2017
1162580001;183531520; Simulation; Strategy;;28/11/2017;21/02/2019
1162606880;680122368; Strategy; Puzzle; Entertainment;04/11/2016;15/01/2017
1162614980;55926784; Strategy;;;24/10/2016;10/03/2017
